DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-9:28:31,40.95772,90.29639,375.4422,1231.766,59.81206,196.2338,,,,,,,
10-7-2021-9:28:33,37.68806,83.08801,376.4538,1235.084,60.65862,199.0112,,,,,,,
10-7-2021-9:28:34,39.19712,86.41492,377.4694,1238.417,60.13766,197.302,,,,,,,
10-7-2021-9:28:35,40.58048,89.46472,378.4987,1241.794,60.62605,198.9044,,,,,,,
10-7-2021-9:28:36,40.20319,88.63293,379.5106,1245.113,59.68182,195.8065,,,,,,,
10-7-2021-9:28:37,42.96981,94.7323,380.441,1248.166,56.81657,186.4061,,,,,,,
10-7-2021-9:28:38,38.1911,84.19702,381.1651,1250.542,42.32753,138.8699,,,,,,,
10-7-2021-9:28:39,43.85014,96.6731,381.4793,1251.573,23.76854,77.98077,,,,,,,
10-7-2021-9:28:40,56.17431,123.8433,381.4807,1251.577,1.30239e-1,4.27292e-1,,,,,,,
10-7-2021-9:28:41,52.40162,115.5259,381.4823,1251.582,6.51193e-2,2.13646e-1,,,,,,,
10-7-2021-9:28:42,52.40162,115.5259,381.4823,1251.582,0.0,0.0,,,,,,,
10-7-2021-9:28:43,51.64709,113.8624,381.4875,1251.599,4.55835e-1,1.495522,,,,,,,
10-7-2021-9:28:44,40.95772,90.29639,381.6885,1252.259,14.6844,48.17716,,,,,,,
10-7-2021-9:28:45,41.20927,90.85095,382.1368,1253.73,27.41522,89.94494,,,,,,,
10-7-2021-9:28:46,31.77746,70.05737,383.2424,1257.357,58.99807,193.5632,,,,,,,
10-7-2021-9:28:47,39.07137,86.1377,384.1986,1260.494,56.5561,185.5515,,,,,,,
10-7-2021-9:28:48,38.31684,84.47424,385.1689,1263.677,58.70504,192.6018,,,,,,,
10-7-2021-9:28:49,39.57441,87.2467,386.1403,1266.864,57.66313,189.1835,,,,,,,
10-7-2021-9:28:50,38.0653,83.91968,387.1808,1270.278,62.57963,205.3138,,,,,,,
