DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
1-6-2021-15:40:24,98.29109,216.6949,-4.497843,-14.7567,3.25596e-2,1.06823e-1,,,,,,,
1-6-2021-15:40:25,56.58366,124.7457,-4.43598,-14.55374,4.037395,13.24605,,,,,,,
1-6-2021-15:40:26,28.06119,61.86438,-4.31985,-14.17274,6.870084,22.53965,,,,,,,
1-6-2021-15:40:27,28.73393,63.34753,-4.200465,-13.78105,6.870084,22.53965,,,,,,,
1-6-2021-15:40:28,28.33029,62.45764,-4.07918,-13.38314,7.130561,23.39423,,,,,,,
1-6-2021-15:40:29,28.86843,63.64404,-3.949213,-12.95674,7.22824,23.7147,,,,,,,
1-6-2021-15:40:30,29.40663,64.83057,-3.835526,-12.58375,6.544488,21.47142,,,,,,,
1-6-2021-15:40:31,11.78187,25.97461,-3.816533,-12.52143,0.0,0.0,,,,,,,
1-6-2021-15:40:32,11.10918,24.49158,-3.820874,-12.53568,-5.20954e-1,-1.709167,,,,,,,
1-6-2021-15:40:33,16.35622,36.05933,-3.850992,-12.63449,-2.409414,-7.9049,,,,,,,
1-6-2021-15:40:34,25.77402,56.82202,-3.933205,-12.90421,-5.079305,-16.66438,,,,,,,
1-6-2021-15:40:35,33.71188,74.32202,-4.021658,-13.19442,-5.079305,-16.66438,,,,,,,
1-6-2021-15:40:36,35.59546,78.47461,-4.10767,-13.47661,-5.046744,-16.55756,,,,,,,
1-6-2021-15:40:37,37.47903,82.6272,-4.193682,-13.7588,-5.079305,-16.66438,,,,,,,
1-6-2021-15:40:38,34.92276,76.99158,-4.277794,-14.03476,-4.949065,-16.23709,,,,,,,
1-6-2021-15:40:39,37.34449,82.33057,-4.365705,-14.32318,-5.079305,-16.66438,,,,,,,
1-6-2021-15:40:41,35.59546,78.47461,-4.45226,-14.60715,-5.014184,-16.45074,,,,,,,
1-6-2021-15:40:42,67.88504,149.661,-4.469082,-14.66234,-6.51193e-2,-2.13646e-1,,,,,,,
1-6-2021-15:40:43,65.73241,144.9153,-4.469353,-14.66323,0.0,0.0,,,,,,,
1-6-2021-15:40:44,69.49952,153.2203,-4.489161,-14.72822,-1.107028,-3.631981,,,,,,,
1-6-2021-15:40:45,98.42564,216.9916,-4.503541,-14.7754,-1.009349,-3.311512,,,,,,,
1-6-2021-15:40:46,113.6287,250.5085,-4.50327,-14.77451,3.25596e-2,1.06823e-1,,,,,,,
1-6-2021-15:40:47,103.5381,228.2627,-4.501099,-14.76739,2.27917e-1,7.47761e-1,,,,,,,
1-6-2021-15:40:48,105.6908,233.0085,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:49,104.4799,230.339,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:50,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:51,104.4799,230.339,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:52,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:53,105.0181,231.5254,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:54,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:55,104.6145,230.6356,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:56,103.4036,227.9662,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:57,103.9418,229.1526,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:58,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:40:59,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:00,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:01,104.8836,231.2289,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:02,103.4036,227.9662,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:03,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:04,104.6145,230.6356,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:05,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:06,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:07,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:08,103.4036,227.9662,-4.501099,-14.76739,0.0,0.0,,,,,,,
