DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI
10-7-2021-8:57:12,27.62747,60.9082,-7.179672,-23.55536,0,0
10-7-2021-8:57:13,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:57:14,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:15,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:57:16,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:57:17,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:18,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:57:19,29.26233,64.51245,-7.179672,-23.55536,0,0
10-7-2021-8:57:20,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:21,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:22,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:23,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:24,29.13659,64.23523,-7.179672,-23.55536,0,0
10-7-2021-8:57:25,29.13659,64.23523,-7.179672,-23.55536,0,0
10-7-2021-8:57:26,28.88504,63.68066,-7.179672,-23.55536,0,0
10-7-2021-8:57:27,28.25626,62.29443,-7.179672,-23.55536,0,0
10-7-2021-8:57:28,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:57:29,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:30,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:57:31,29.13659,64.23523,-7.179672,-23.55536,0,0
10-7-2021-8:57:32,29.26233,64.51245,-7.179672,-23.55536,0,0
10-7-2021-8:57:33,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:34,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:35,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:36,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:37,28.63355,63.12622,-7.179672,-23.55536,0,0
10-7-2021-8:57:38,28.75929,63.40344,-7.179672,-23.55536,0,0
10-7-2021-8:57:39,28.13051,62.01721,-7.179672,-23.55536,0,0
10-7-2021-8:57:40,28.38206,62.57178,-7.179672,-23.55536,0,0
10-7-2021-8:57:41,28.88504,63.68066,-7.179672,-23.55536,0,0
10-7-2021-8:57:42,28.88504,63.68066,-7.179672,-23.55536,0,0
10-7-2021-8:57:43,28.88504,63.68066,-7.179672,-23.55536,0,0
